time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-03-16T08:33:55.528Z,-9.4247,118.9559,77.985,4.6,mb,25,121,1.307,1.2,us,us6000mj8x,2024-03-16T08:50:01.040Z,"30 km W of Tambolaka, Indonesia",earthquake,5.79,8.971,0.128,18,reviewed,us,us
2024-03-16T13:56:30.309Z,13.8762,-93.1685,10,5,mb,46,159,1.704,0.89,us,us6000mja9,2024-03-16T14:16:35.040Z,"123 km SW of Puerto Madero, Mexico",earthquake,7.82,1.922,0.031,323,reviewed,us,us
2024-03-16T16:39:09.235Z,10.6938,-86.4073,36.475,4.5,mb,94,142,1.076,0.61,us,us6000mjam,2024-03-16T18:51:50.040Z,"75 km NW of Tamarindo, Costa Rica",earthquake,6.27,4.837,0.054,101,reviewed,us,us
2024-03-16T21:17:04.733Z,37.1351,141.4676,47.649,5.3,mww,139,73,2.681,0.46,us,us6000mjbp,2024-03-18T17:05:24.040Z,"45 km ESE of Tomioka, Japan",earthquake,6.35,4.661,0.068,21,reviewed,us,us
2024-03-17T00:44:03.563Z,12.3515,-87.6834,52.796,5.6,mww,70,132,0.732,1.36,us,us6000mjct,2024-03-18T00:48:00.702Z,"50 km SSW of Jiquilillo, Nicaragua",earthquake,6.82,5.061,0.05,38,reviewed,us,us
2024-03-17T01:37:08.021Z,-6.2995,142.9432,10,4.9,mb,24,168,4.373,0.86,us,us6000mjdf,2024-03-17T01:56:08.040Z,"50 km S of Tari, Papua New Guinea",earthquake,7.9,1.934,0.136,17,reviewed,us,us
2024-03-17T04:03:19.945Z,12.3072,-87.6806,59.086,4.9,mb,61,143,0.752,1.01,us,us6000mje0,2024-03-17T05:50:09.163Z,"54 km SSW of Jiquilillo, Nicaragua",earthquake,6.14,6.329,0.024,574,reviewed,us,us
2024-03-17T06:03:55.656Z,12.6225,47.9772,10,5.2,mb,105,42,5.134,0.79,us,us6000mjed,2024-03-17T06:19:24.040Z,"163 km N of Las Khorey, Somalia",earthquake,6.15,1.875,0.053,119,reviewed,us,us
2024-03-17T08:23:51.151Z,0.7274,-27.9261,10,4.7,mb,29,100,10.286,0.58,us,us6000mjep,2024-03-17T08:40:06.040Z,"central Mid-Atlantic Ridge",earthquake,13.9,1.915,0.11,25,reviewed,us,us
2024-03-17T08:58:54.611Z,14.2785,144.2275,10.144,4.7,mb,37,79,0.925,0.5,us,us6000mjet,2024-03-17T09:13:27.040Z,"103 km NNW of Piti Village, Guam",earthquake,7.4,4.451,0.097,32,reviewed,us,us
2024-03-17T11:10:16.832Z,-3.3698,148.6059,10,5.4,mww,62,95,7.938,0.87,us,us6000mjfc,2024-03-18T11:13:52.242Z,"209 km SE of Lorengau, Papua New Guinea",earthquake,9.61,1.876,0.075,17,reviewed,us,us
2024-03-17T13:36:29.096Z,14.2912,144.1008,10,4.9,mb,21,73,1.021,0.53,us,us6000mjft,2024-03-17T13:51:34.040Z,"111 km NW of Piti Village, Guam",earthquake,7.33,1.862,0.162,12,reviewed,us,us
2024-03-17T16:16:38.562Z,47.7492,156.4658,10,4.8,mb,59,136,5.423,0.69,us,us6000mjgj,2024-03-17T17:06:53.040Z,"east of the Kuril Islands",earthquake,7.84,1.893,0.044,161,reviewed,us,us
2024-03-17T16:16:58.018Z,-9.4791,113.1841,46.033,4.5,mb,17,90,1.385,0.64,us,us6000mjgi,2024-03-17T17:13:51.040Z,"133 km S of Kencong, Indonesia",earthquake,7.99,13.423,0.156,12,reviewed,us,us
2024-03-17T18:50:20.510Z,35.6284,140.2774,52.185,4.5,mb,56,116,1.907,0.59,us,us6000mjh3,2024-03-18T09:58:40.952Z,"4 km SW of Yachimata, Japan",earthquake,6.94,6.949,0.075,52,reviewed,us,us
2024-03-17T19:31:15.005Z,4.9181,126.0304,104.447,4.5,mb,59,122,2.184,0.86,us,us6000mjh7,2024-03-17T19:55:47.040Z,"82 km SE of Sarangani, Philippines",earthquake,10.25,3.847,0.06,81,reviewed,us,us
2024-03-17T21:03:44.497Z,27.7728,53.4775,10,4.9,mb,73,69,3.73,0.88,us,us6000mjhl,2024-03-17T21:31:19.040Z,"63 km ENE of Mohr, Iran",earthquake,5.36,1.629,0.042,177,reviewed,us,us
2024-03-17T23:41:40.673Z,4.9092,127.3873,120.527,4.8,mb,45,108,2.8,0.37,us,us6000mjif,2024-03-17T23:57:00.040Z,"209 km SE of Pondaguitan, Philippines",earthquake,10.05,7.37,0.1,31,reviewed,us,us
2024-03-18T00:18:04.750Z,-6.2343,146.9049,94.506,5.1,mb,73,76,7.203,0.65,us,us6000mjij,2024-03-18T00:45:10.276Z,"55 km N of Lae, Papua New Guinea",earthquake,9.61,7.281,0.068,69,reviewed,us,us
2024-03-18T00:45:46.646Z,64.6081,-17.7972,10,4.7,mb,88,77,1.524,0.76,us,us6000mjim,2024-03-18T01:03:08.040Z,"120 km S of Akureyri, Iceland",earthquake,6.76,1.886,0.042,177,reviewed,us,us
2024-03-18T01:39:31.966Z,-22.1715,-176.6839,145.759,4.6,mb,25,125,1.7,0.28,us,us6000mjir,2024-03-19T04:25:13.040Z,"180 km SW of Houma, Tonga",earthquake,13.1,9.8,0.114,23,reviewed,us,us
2024-03-18T08:15:00.976Z,-40.8024,-89.8627,10,4.5,mb,33,167,12.735,0.48,us,us6000mjjw,2024-03-18T10:24:49.040Z,"West Chile Rise",earthquake,14.21,1.944,0.103,28,reviewed,us,us
2024-03-18T09:35:16.448Z,1.5389,126.3267,46.59,4.9,mb,77,79,1.289,0.73,us,us6000mjk4,2024-03-18T10:08:35.040Z,"133 km E of Bitung, Indonesia",earthquake,8.08,6.17,0.061,97,reviewed,us,us
2024-03-18T10:08:56.060Z,8.5745,-84.1483,11.836,4.5,mb,38,202,0.836,0.74,us,us6000mjk7,2024-03-18T12:44:17.040Z,"80 km WSW of Puerto Cortés, Costa Rica",earthquake,7.56,6.99,0.063,75,reviewed,us,us
2024-03-18T11:04:37.888Z,24.288,142.8454,10,5.3,mww,95,33,2.859,1.18,us,us6000mjkb,2024-03-18T13:27:50.542Z,"Volcano Islands, Japan region",earthquake,8.66,1.774,0.056,31,reviewed,us,us
2024-03-18T17:37:19.117Z,14.2985,144.191,12.575,4.6,mb,31,64,0.964,0.38,us,us6000mjlf,2024-03-18T17:57:28.040Z,"107 km NNW of Piti Village, Guam",earthquake,5.92,4.515,0.112,24,reviewed,us,us
2024-03-18T17:46:31.409Z,44.1725,148.3612,50.528,4.7,mb,55,174,4.152,0.81,us,us6000mjm8,2024-03-18T18:14:37.040Z,"123 km SSE of Kuril’sk, Russia",earthquake,10.77,7.849,0.052,111,reviewed,us,us
2024-03-19T00:35:19.253Z,29.7078,65.3794,10,5.5,mww,209,41,7.786,0.69,us,us6000mjpj,2024-03-19T04:38:45.188Z,"64 km WNW of Nushki, Pakistan",earthquake,7.72,1.768,0.073,18,reviewed,us,us
2024-03-19T01:15:07.859Z,41.7694,143.6119,41.581,4.6,mb,38,166,0.419,0.55,us,us6000mjpp,2024-03-19T01:32:06.040Z,"62 km SSE of Hiroo, Japan",earthquake,6.86,6.809,0.087,39,reviewed,us,us
2024-03-19T02:25:31.664Z,-31.2998,-179.1275,9.167,5.5,mww,26,110,2.284,0.38,us,us6000mjpw,2024-03-19T04:29:37.917Z,"Kermadec Islands region",earthquake,12.75,4.662,0.066,22,reviewed,us,us
2024-03-19T04:03:08.480Z,1.1493,126.4229,62.497,4.9,mb,45,79,1.015,0.94,us,us6000mjqa,2024-03-19T04:20:07.040Z,"114 km WNW of Ternate, Indonesia",earthquake,8.62,7.356,0.069,67,reviewed,us,us
